,adult,budget,id,imdb_id,original_language,overview,popularity,release_date,revenue,runtime,title,tmdb_id,vote_average,vote_count,belongs_to_collection,genres,production_companies,production_countries,spoken_languages
2298,False,0,the+blue+kite+1994,tt0107358,zh,"On Dry Well Lane in Beijing in 1953, Chen Shujuan and Lin Shaolong marry. A year later their son, nicknamed Tietou (Iron Head), is born. The Party is everywhere: Mao's photograph, loud-speaker announcements, visits from the neighborhood committee. Shaolong dies in a reform camp; a close family friend, who protects Shujuan and her son partly out of guilt for lying to authorities about Shaolong, succumbs to malnutrition; a confrontation with the Red Guard leads to injury, imprisonment and death. Shujuan's love for Tietou sustains her, and the child's blue kite embodies hope: ""I can make another for you,"" says Tietou's dad; by the end, Tietou promises this to a small child.",2.16468,1994-02-02,0,140,The Blue Kite,44162,7.4,11,,Drama,Beijing Film Studio,China,普通话
2299,False,0,young+people+1940,tt0033288,en,Wendy Ballantine's parents decide to retire from show biz so she can have a normal life. They are unwelcome in the small town until a storm lets the family show their stuff.,0.165246,1940-08-30,0,79,Young People,77775,6.3,2,,Drama,Twentieth Century Fox Film Corporation,United States of America,English
2300,False,0,scourge+2008,tt1137477,en,"An ancient pestilence called The Scourge has been set free in a small town after being entombed in a church's masonry for a century and a half. As bodies rapidly pile up, nothing stands between the spawning Scourge and the rest of the town except our young heroes Scott and Jessie who rediscover their love for each other in the process",0.884333,2008-01-31,0,92,Scourge,16925,4.0,11,,Drama,PHD Productions,Canada,
2301,False,0,frozen+planet+2011,tt2092588,en,"Frozen Planet takes you on the ultimate polar expedition. This landmark 7-part series brings to the screen the two most remote and least hospitable areas on the planet: the frozen wildernesses of the Arctic and Antarctic. And yet, despite environments where temperatures reach minus 70 degrees Celsius and the sun doesn't shine for half the year, life flourishes. Prime attention is given to seals, penguins, and polar bears, but there's a great deal more: from slugs, snails, and caterpillars to minke whales, beluga whales, and narwhals, from seabirds and cod gathering by the millions to wolves tracking bison and caribou. There are breathtaking shots of the landscape as well, and portraits of the human element.",3.80163,2011-10-26,0,392,Frozen Planet,134481,8.3,46,,Documentary,,,English
2302,False,0,safety+patrol+1998,tt0152265,en,Scout Bozell has always dreamt of being on his school's Safety Patrol. The only reason he cannot join is because he is very clumsy. He's sent to another school because his old school would not let him become part of their Safety Patrol. But his new school does let him on the Safety Patrol.,0.071852,1998-03-29,0,96,Safety Patrol,84211,6.0,2,,,,,English
2303,False,0,twice+in+a+lifetime+1985,tt0090223,en,"A middle-aged steelworker is content with his job and his family, but feels that something is missing in his life. On his 50th birthday, he stops in at a local bar for a drink to celebrate. He finds himself attracted to the young, very sexy barmaid--and, to his surprise, he finds that she is also very attracted to him.",0.86176,1985-10-23,0,111,Twice in a Lifetime,123049,6.0,6,,Drama,Bud Yorkin Productions,United States of America,English
2304,False,0,high+hopes+1988,tt0095302,en,"Slice-of-life look at a sweet working-class couple in London, Shirley and Cyril, his mother, who's aging quickly and becoming forgetful, mum's ghastly upper-middle-class neighbors, and Cyril's pretentious sister and philandering husband. Shirley wants a baby, but Cyril, who reads Marx and wants the world to be perfect, is reluctant. Cyril's mum locks herself out and must ask her snooty neighbors for help. Then Cyril's sister Valerie stages a surprise party for mum's 70th birthday, a disaster from start to finish. Shirley holds things together, and she and Cyril may put aside her Dutch cap after all.",1.369216,1988-09-01,1192322,112,High Hopes,47870,7.5,22,,Comedy,,United Kingdom,English
2305,False,0,drowning+by+numbers+1988,tt0092929,en,"An ironic black comedy of love and death that takes place an a lyrically beautiful landscape. Three related women, all named Cissie Colpitts share a solidarity for one another which brings about three copy-cat drownings. The local coroner is in love with all three women and helps to disguise the murders.",2.264156,1988-09-10,0,118,Drowning by Numbers,27362,7.0,32,,Comedy,Film Four International,United Kingdom,English
2306,False,0,duck+season+2004,tt0407246,es,"Flama and Moko are fourteen years old; they have been best friends since they were kids. They have everything they need to survive yet another boring Sunday: an apartment without parents, videogames, porn magazines, soft drinks and pizza delivery.",1.563754,2004-10-22,0,90,Duck Season,34207,7.2,17,,Drama,Cine Pantera,Mexico,Español
2307,False,0,my+sweet+pepper+land+2014,tt2875926,ku,"Baran, a war hero, becomes sheriff of the capital and refuses to bow down to a tribal chief.",1.932314,2014-04-09,0,100,My Sweet Pepper Land,188765,6.8,32,,Drama,HSI Productions,Germany,العربية
